COVID-19 Vaccinations in the United States
Date generated: Sun Mar 24 2024 14:21:29 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100k pop,Doses distributed by jurisdiction per 100k of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100k pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100k of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100k of 65+ pop,Doses distributed by jurisdiction per 100k of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100k of 12+ pop,Doses distributed by jurisdiction per 100k of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100k of 5+ pop,Doses distributed by jurisdiction per 100k of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
South Carolina,14205395,275902,351834,8666603,168326,7976144,197550,3666079,71.2,3319326,82.2,3091956,60.1,2811296,69.6,6858095,N/A,5125140,N/A,466400,48900,N/A,234030,3124391,N/A,4677048,N/A,798,3348,994994,95,860836,91.9,2874066,306723,1516010,3532862,79.9,2991350,67.7,8409793,190268,321391,3646320,75.1,3081834,63.5,8628155,177671,292518,602979,11.7,602389,12.4,593561,13.4,579190,14.3,326065,34.8,N/A,N/A
South Dakota,2713025,306675,406410,1688981,190919,1514662,226896,746118,84.3,659216,95,588257,66.5,524003,78.5,1326385,N/A,882400,N/A,94000,5600,N/A,42525,590344,N/A,900749,N/A,119,260,197409,95,159605,95,529490,348645,1786400,707773,95,561475,76.1,1613833,218647,367568,739933,89.9,586667,71.2,1677843,203747,329454,156027,17.6,155946,18.9,152188,20.6,146797,22,75318,49.6,N/A,N/A
Tennessee,17172490,251458,322844,11323319,165808,10496164,197329,4413541,64.6,4018706,75.6,3852924,56.4,3528315,66.3,8759050,N/A,5670340,N/A,533400,21500,N/A,271258,4043812,N/A,6190827,N/A,1898,78677,1082135,94.6,992506,86.8,3532810,308976,1501890,4264391,73.1,3737837,64.1,11021005,188859,294273,4391102,68.4,3843432,59.9,11280878,175699,267461,721837,10.6,721826,11.2,711609,12.2,693621,13,357735,31.3,N/A,N/A
Texas,80813315,278706,374204,52510128,181095,45886244,212475,22322586,77,19022679,88.1,18406327,63.5,16008968,74.1,43584365,N/A,25478340,N/A,2667600,119500,N/A,1549526,17680800,N/A,29809694,N/A,6618,63913,3756924,95,3330121,89.2,11446503,306529,2164120,20968277,87,17532579,72.7,49895466,207026,335309,22160914,82.1,18363854,68,52202980,193309,299253,3293548,11.4,3288778,12.2,3205609,13.3,3085576,14.3,1282757,34.4,N/A,N/A
Utah,8421900,262695,370230,6158852,192106,5290264,232562,2421459,75.5,2027250,89.1,2146291,66.9,1818842,80,4652010,N/A,2420360,N/A,257900,10000,N/A,188781,1949498,N/A,3523827,N/A,1152,2927,388400,95,354415,95,1294736,353877,2301870,2251177,86.8,2018440,77.9,5801394,223797,324887,2393586,80.9,2134792,72.2,6102281,206287,284701,463953,14.5,463338,15.7,446715,17.2,422005,18.6,164098,44.9,N/A,N/A
Virginia,26823665,314259,401872,19608172,229724,17349594,259932,7794449,91.3,6778752,95,6556391,76.8,5701220,85.4,14050785,N/A,8071900,N/A,803400,35400,N/A,510191,6274226,N/A,10931980,N/A,2549,16927,1565047,95,1329147,95,4957451,364812,1973920,7327103,95,6182123,84.6,18597260,254514,367097,7712390,95,6507230,81,19432204,241994,334041,1795703,21,1791781,22.3,1740381,23.8,1669370,25,695737,51.2,N/A,N/A
Veterans Health,9888200,N/A,N/A,8700837,N/A,8697186,N/A,3730897,N/A,3728821,N/A,3060384,N/A,3058884,N/A,3780780,N/A,4250780,N/A,626900,12100,N/A,257902,4037447,N/A,3513963,N/A,601,38,1812492,N/A,1573438,N/A,4771928,N/A,N/A,3730766,N/A,3060305,N/A,8700624,N/A,N/A,3730783,N/A,3060311,N/A,8700647,N/A,N/A,883933,N/A,883933,N/A,883933,N/A,883903,N/A,572429,N/A,N/A,N/A
Virgin Islands,173300,163045,212620,155357,146163,145241,178195,75415,71,69991,85.9,59085,55.6,54822,67.3,115760,N/A,44240,N/A,3400,300,N/A,2355,45753,N/A,103042,N/A,9,N/A,21612,95,16354,79.9,46183,225525,846274,73786,82.5,57914,64.8,152537,170575,193794,75307,75.6,59052,59.3,155197,155783,173954,4216,4,4216,4.2,4203,4.7,4163,5.1,2370,11.6,N/A,N/A
Vermont,2588940,414902,507651,1762563,282467,1563668,306611,623937,95,544094,95,537193,86.1,467865,91.7,1244690,N/A,831220,N/A,74200,3500,N/A,54522,602104,N/A,886574,N/A,194,944,151804,95,133976,95,543423,434603,2070510,582633,95,502332,91.2,1665408,302279,469905,614499,95,531036,89.3,1741061,292642,435155,214107,34.3,213211,35.8,206110,37.4,196740,38.6,86640,69.3,N/A,N/A
Washington,25606455,336268,430228,17723480,232748,15765601,264887,6517326,85.6,5694569,95,5814062,76.4,5095049,85.6,12807915,N/A,7783800,N/A,777800,41600,N/A,495557,5863590,N/A,9306520,N/A,4071,21360,1298687,95,1188410,95,4558849,376851,2116720,6122611,94.2,5484930,84.4,16811064,258595,393889,6428635,89.8,5755895,80.4,17527908,244857,357711,1988913,26.1,1977241,27.6,1907183,29.3,1828199,30.7,720971,59.6,N/A,N/A
Wisconsin,16474175,282943,361606,12444016,213725,11264241,247249,4386970,75.3,3881142,85.2,3981606,68.4,3539130,77.7,8183105,N/A,5144600,N/A,457200,22900,N/A,338987,4216126,N/A,6529437,N/A,1556,5268,1081267,95,1008957,95,3948468,388154,1619490,4156988,83.1,3789458,75.8,11929874,238607,329497,4341550,79.1,3954892,72,12347025,224821,299970,1333830,22.9,1330586,24.2,1298038,26,1251270,27.5,600688,59.1,N/A,N/A
West Virginia,5515855,307779,385029,3098571,172897,2896775,202207,1212338,67.6,1114434,77.8,1071540,59.8,989169,69,2696125,N/A,1967420,N/A,172600,10700,N/A,68663,1244019,N/A,1571349,N/A,281,2352,354072,95,321971,87.7,1085531,295776,1502910,1178037,75.6,1045058,67.1,3032881,194685,354071,1208323,71.1,1069264,62.9,3091110,181924,324630,210097,11.7,210085,12.4,208143,13.4,204380,14.3,115583,31.5,N/A,N/A
Wyoming,1281755,221466,288019,854132,147580,790769,177691,353727,61.1,322980,72.6,307619,53.2,281901,63.3,585605,N/A,490040,N/A,49300,3700,N/A,29205,347522,N/A,410669,N/A,204,1271,97375,95,87140,87.9,284622,286978,1292370,342435,69.8,298745,60.9,831727,169491,261198,352361,64.8,306932,56.4,851464,156569,235691,65927,11.4,65920,12.1,64919,13.2,63244,14.2,34832,35.1,N/A,N/A
